source_ip,destination_ip,protocol,packet_size,inter_arrival_time_ms,jitter_ms,qos_class
192.168.140.53,192.0.2.120,TCP,411,98.2,8.83,mMTC
192.168.231.6,192.0.2.205,TCP,1230,24.23,3.5,URLLC
192.168.110.15,192.0.2.3,UDP,704,14.69,3.03,URLLC
192.168.28.85,192.0.2.242,TCP,697,76.81,2.02,mMTC
192.168.240.196,192.0.2.28,TCP,1492,29.29,11.07,eMBB
192.168.244.2,192.0.2.192,TCP,737,63.35,5.54,mMTC
192.168.223.3,192.0.2.107,UDP,962,57.37,6.24,eMBB
192.168.41.166,192.0.2.20,UDP,1114,51.09,9.49,eMBB
192.168.126.45,192.0.2.97,UDP,1237,45.17,10.48,eMBB
192.168.202.226,192.0.2.71,UDP,242,21.23,3.19,URLLC
192.168.11.180,192.0.2.253,TCP,1331,24.42,3.15,URLLC
192.168.187.23,192.0.2.126,UDP,241,21.23,3.93,URLLC
192.168.108.16,192.0.2.230,ICMP,1343,57.67,4.78,eMBB
192.168.108.213,192.0.2.119,UDP,1351,17.89,3.34,URLLC
192.168.253.56,192.0.2.246,ICMP,697,112.91,6.88,mMTC
192.168.230.46,192.0.2.133,ICMP,1261,52.92,6.4,eMBB
192.168.3.197,192.0.2.66,UDP,1287,22.93,3.75,URLLC
192.168.137.221,192.0.2.20,UDP,798,125.89,3.92,mMTC
192.168.188.92,192.0.2.170,ICMP,388,89.21,4.38,mMTC
192.168.239.15,192.0.2.116,ICMP,1277,30.75,2.64,URLLC
192.168.148.102,192.0.2.26,ICMP,979,14.43,4.08,URLLC
192.168.48.180,192.0.2.65,UDP,368,79.69,4.93,mMTC
192.168.109.158,192.0.2.52,ICMP,1220,67.93,8.41,eMBB
192.168.62.168,192.0.2.90,ICMP,140,119.07,5.08,mMTC
192.168.68.60,192.0.2.38,TCP,902,38.42,6.87,eMBB
192.168.6.131,192.0.2.169,UDP,815,23.67,3.57,URLLC
192.168.132.244,192.0.2.143,ICMP,1345,58.34,3.44,eMBB
192.168.156.184,192.0.2.90,TCP,767,75.74,3.68,mMTC
192.168.157.28,192.0.2.96,UDP,396,64.14,4.01,mMTC
192.168.50.147,192.0.2.56,TCP,996,48.35,6.15,eMBB
192.168.4.229,192.0.2.22,TCP,567,110.64,2.13,mMTC
192.168.10.194,192.0.2.188,UDP,1339,62.9,6.06,eMBB
192.168.233.121,192.0.2.147,ICMP,1131,40.8,2.71,eMBB
192.168.20.99,192.0.2.78,TCP,1321,53.53,5.06,eMBB
192.168.90.204,192.0.2.36,UDP,1461,66.21,4.75,eMBB
192.168.149.45,192.0.2.185,ICMP,471,134.7,3.6,mMTC
192.168.57.226,192.0.2.104,TCP,609,136.86,5.47,mMTC
192.168.224.195,192.0.2.6,UDP,1067,49.43,6.76,eMBB
192.168.12.71,192.0.2.240,ICMP,927,58.4,7.48,eMBB
192.168.119.137,192.0.2.239,UDP,1086,21.31,1.88,URLLC
192.168.46.49,192.0.2.186,TCP,1189,65.1,7.75,eMBB
192.168.19.46,192.0.2.17,ICMP,197,84.56,5.54,mMTC
192.168.152.210,192.0.2.97,UDP,1405,48.57,6.84,eMBB
192.168.54.107,192.0.2.33,TCP,425,26.08,3.54,URLLC
192.168.149.33,192.0.2.213,TCP,1339,76.46,6.38,eMBB
192.168.192.200,192.0.2.2,TCP,424,18.7,3.77,URLLC
192.168.138.123,192.0.2.2,ICMP,1361,66.28,6.39,eMBB
192.168.24.131,192.0.2.239,TCP,1025,12.71,2.6,URLLC
192.168.176.174,192.0.2.13,ICMP,977,26.73,4.44,eMBB
192.168.243.119,192.0.2.144,TCP,362,73.03,2.91,mMTC
192.168.231.63,192.0.2.234,ICMP,1035,37.52,5.68,eMBB
192.168.196.31,192.0.2.100,ICMP,1130,46.06,4.03,eMBB
192.168.13.194,192.0.2.175,TCP,1035,16.79,2.61,URLLC
192.168.80.64,192.0.2.187,TCP,731,67.98,5.98,mMTC
192.168.217.103,192.0.2.169,ICMP,1192,56.59,7.72,eMBB
192.168.94.123,192.0.2.16,TCP,610,95.19,5.73,mMTC
192.168.84.161,192.0.2.3,ICMP,463,77.82,7.6,mMTC
192.168.131.10,192.0.2.108,ICMP,1331,17.36,4.52,URLLC
192.168.123.113,192.0.2.128,TCP,610,21.85,4.09,URLLC
192.168.172.167,192.0.2.165,ICMP,1040,55.6,6.68,eMBB
192.168.19.106,192.0.2.89,UDP,915,16.38,4.34,URLLC
192.168.66.88,192.0.2.145,UDP,318,17.47,2.87,URLLC
192.168.83.155,192.0.2.33,ICMP,101,90.32,5.14,mMTC
192.168.118.49,192.0.2.136,ICMP,1346,52.85,4.23,eMBB
192.168.195.246,192.0.2.167,ICMP,819,17.87,3.17,URLLC
192.168.232.15,192.0.2.86,TCP,1356,62.64,5.86,eMBB
192.168.23.160,192.0.2.150,UDP,1207,53.04,6.56,eMBB
192.168.137.220,192.0.2.130,ICMP,1237,19.96,2.82,URLLC
192.168.204.29,192.0.2.7,UDP,285,21.1,3.63,URLLC
192.168.73.86,192.0.2.98,UDP,327,29.04,0.71,URLLC
192.168.190.128,192.0.2.99,TCP,1485,46.05,6.93,eMBB
192.168.94.113,192.0.2.156,UDP,631,152.39,4.46,mMTC
192.168.197.202,192.0.2.37,TCP,778,100.93,4.99,mMTC
192.168.29.236,192.0.2.212,TCP,191,108.94,6.68,mMTC
192.168.191.222,192.0.2.54,TCP,1046,44.35,4.28,eMBB
192.168.226.33,192.0.2.238,UDP,666,18.71,3.47,URLLC
192.168.109.249,192.0.2.173,TCP,804,20.2,2.77,URLLC
192.168.113.90,192.0.2.37,UDP,446,106.7,3.8,mMTC
192.168.30.249,192.0.2.191,ICMP,1293,65.71,6.99,eMBB
192.168.34.71,192.0.2.198,TCP,608,94.06,5.41,mMTC
192.168.179.104,192.0.2.93,UDP,984,54.24,8.79,eMBB
192.168.229.80,192.0.2.80,ICMP,333,54.1,3.47,mMTC
192.168.4.31,192.0.2.144,ICMP,309,24.77,1.84,URLLC
192.168.112.22,192.0.2.4,ICMP,789,24.91,1.41,URLLC
192.168.76.216,192.0.2.98,TCP,1313,56.07,4.64,eMBB
192.168.107.141,192.0.2.240,ICMP,1339,47.34,9.15,eMBB
192.168.25.115,192.0.2.130,UDP,672,116.36,3.96,mMTC
192.168.6.129,192.0.2.144,UDP,1375,72.79,4.69,eMBB
192.168.111.249,192.0.2.175,ICMP,1263,61.37,4.08,eMBB
192.168.182.30,192.0.2.22,TCP,1352,61.29,5.87,eMBB
192.168.7.15,192.0.2.67,ICMP,315,85.92,3.84,mMTC
192.168.51.28,192.0.2.27,ICMP,795,104.69,4.92,mMTC
192.168.67.204,192.0.2.223,UDP,203,113.07,3.1,mMTC
192.168.139.172,192.0.2.171,ICMP,836,16.01,2.99,URLLC
192.168.179.227,192.0.2.218,UDP,650,74.71,4.5,mMTC
192.168.190.59,192.0.2.58,UDP,441,31.47,1.78,URLLC
192.168.40.91,192.0.2.63,TCP,1456,53.85,4.06,eMBB
192.168.175.53,192.0.2.220,UDP,204,99.54,3.35,mMTC
192.168.222.176,192.0.2.213,UDP,1429,51.4,5.38,eMBB
192.168.49.14,192.0.2.192,TCP,1199,51.29,7.03,eMBB
192.168.62.123,192.0.2.114,UDP,718,21.45,1.62,URLLC
192.168.69.206,192.0.2.92,TCP,1472,48.12,3.73,eMBB
192.168.98.63,192.0.2.215,ICMP,1475,46.87,4.0,eMBB
192.168.153.130,192.0.2.183,TCP,1331,49.42,6.79,eMBB
192.168.239.126,192.0.2.221,TCP,1399,33.37,4.18,eMBB
192.168.118.14,192.0.2.9,ICMP,996,36.39,7.36,eMBB
192.168.241.79,192.0.2.247,UDP,296,22.74,3.08,URLLC
192.168.76.226,192.0.2.175,UDP,609,10.48,4.93,URLLC
192.168.139.72,192.0.2.253,TCP,1498,46.88,4.56,eMBB
192.168.181.55,192.0.2.8,TCP,674,18.6,1.33,URLLC
192.168.230.47,192.0.2.220,UDP,1260,25.36,4.75,URLLC
192.168.210.171,192.0.2.169,TCP,1297,43.42,6.95,eMBB
192.168.33.186,192.0.2.74,ICMP,782,132.58,3.4,mMTC
192.168.194.191,192.0.2.33,UDP,740,117.6,5.7,mMTC
192.168.134.200,192.0.2.7,ICMP,1064,47.4,6.32,eMBB
192.168.28.146,192.0.2.137,UDP,371,73.61,3.87,mMTC
192.168.127.144,192.0.2.161,TCP,1048,27.25,2.28,URLLC
192.168.116.216,192.0.2.139,TCP,572,99.8,4.44,mMTC
192.168.120.179,192.0.2.244,TCP,684,105.07,8.13,mMTC
192.168.17.90,192.0.2.22,ICMP,1433,46.61,9.07,eMBB
192.168.142.224,192.0.2.37,TCP,559,70.28,6.81,mMTC
192.168.3.62,192.0.2.231,ICMP,590,28.34,3.17,URLLC
192.168.242.145,192.0.2.72,TCP,463,94.32,3.56,mMTC
192.168.164.180,192.0.2.75,TCP,1173,18.13,4.72,URLLC
192.168.70.227,192.0.2.46,TCP,913,46.36,2.75,eMBB
192.168.165.106,192.0.2.71,UDP,350,14.41,3.42,URLLC
192.168.192.30,192.0.2.73,TCP,448,84.45,3.69,mMTC
192.168.74.49,192.0.2.104,UDP,940,25.57,4.47,URLLC
192.168.16.163,192.0.2.174,TCP,946,55.49,6.42,eMBB
192.168.31.103,192.0.2.141,ICMP,378,22.72,2.2,URLLC
192.168.18.161,192.0.2.72,ICMP,447,19.18,2.92,URLLC
192.168.119.227,192.0.2.232,UDP,1133,25.47,3.48,URLLC
192.168.190.175,192.0.2.96,ICMP,1473,49.44,5.34,eMBB
192.168.8.17,192.0.2.32,TCP,1489,41.12,5.58,eMBB
192.168.200.166,192.0.2.94,ICMP,777,20.5,4.09,URLLC
192.168.151.3,192.0.2.112,UDP,1071,51.41,5.65,eMBB
192.168.116.101,192.0.2.169,UDP,1424,82.59,3.7,eMBB
192.168.139.61,192.0.2.232,UDP,593,41.0,3.52,mMTC
192.168.191.60,192.0.2.249,TCP,683,16.38,2.28,URLLC
192.168.189.250,192.0.2.125,TCP,1006,57.9,3.63,eMBB
192.168.27.115,192.0.2.124,ICMP,998,23.73,3.59,URLLC
192.168.180.203,192.0.2.77,ICMP,1416,55.51,6.78,eMBB
192.168.51.62,192.0.2.83,ICMP,154,110.31,2.49,mMTC
192.168.141.231,192.0.2.168,ICMP,138,175.15,4.13,mMTC
192.168.220.193,192.0.2.137,UDP,979,46.83,5.25,eMBB
192.168.103.53,192.0.2.41,UDP,1091,45.59,7.23,eMBB
192.168.15.121,192.0.2.196,TCP,1411,39.96,6.82,eMBB
192.168.212.205,192.0.2.235,TCP,1476,38.96,6.44,eMBB
192.168.192.223,192.0.2.136,UDP,1115,70.66,3.79,eMBB
192.168.218.226,192.0.2.183,UDP,249,66.33,7.08,mMTC
192.168.129.199,192.0.2.157,TCP,1068,56.84,8.98,eMBB
192.168.240.146,192.0.2.87,TCP,1291,52.48,3.72,eMBB
192.168.189.83,192.0.2.249,ICMP,1168,17.74,1.59,URLLC
192.168.169.64,192.0.2.20,TCP,211,58.88,3.04,mMTC
192.168.23.74,192.0.2.40,TCP,912,26.42,4.53,eMBB
192.168.124.96,192.0.2.40,UDP,504,26.6,3.28,URLLC
192.168.43.224,192.0.2.37,ICMP,894,13.68,4.09,URLLC
192.168.0.10,192.0.2.71,ICMP,714,133.78,3.77,mMTC
192.168.238.166,192.0.2.190,UDP,658,17.57,4.0,URLLC
192.168.100.161,192.0.2.101,UDP,1183,75.05,7.14,eMBB
192.168.59.233,192.0.2.159,TCP,219,120.87,5.5,mMTC
192.168.157.214,192.0.2.119,UDP,270,111.05,3.32,mMTC
192.168.168.227,192.0.2.71,ICMP,1463,43.14,4.47,eMBB
192.168.24.56,192.0.2.93,ICMP,1130,54.07,6.5,eMBB
192.168.173.207,192.0.2.152,UDP,340,97.73,3.9,mMTC
192.168.53.34,192.0.2.43,ICMP,947,18.52,2.98,URLLC
192.168.103.21,192.0.2.104,ICMP,724,71.21,3.4,mMTC
192.168.133.143,192.0.2.143,ICMP,1160,40.2,7.75,eMBB
192.168.230.165,192.0.2.48,TCP,444,107.11,4.62,mMTC
192.168.104.1,192.0.2.98,ICMP,1179,20.91,2.06,URLLC
192.168.156.179,192.0.2.189,UDP,413,22.28,2.67,URLLC
192.168.70.94,192.0.2.174,UDP,1317,50.1,6.43,eMBB
192.168.155.203,192.0.2.161,TCP,1235,20.94,2.28,URLLC
192.168.107.10,192.0.2.182,ICMP,749,143.74,6.26,mMTC
192.168.60.208,192.0.2.68,UDP,1367,56.88,6.76,eMBB
192.168.61.27,192.0.2.101,ICMP,462,72.0,5.92,mMTC
192.168.224.253,192.0.2.152,TCP,1044,42.77,5.19,eMBB
192.168.76.146,192.0.2.36,ICMP,469,115.84,5.04,mMTC
192.168.28.30,192.0.2.238,TCP,1400,45.94,7.94,eMBB
192.168.45.234,192.0.2.152,ICMP,635,7.27,3.45,URLLC
192.168.54.233,192.0.2.223,TCP,788,81.14,2.87,mMTC
192.168.114.130,192.0.2.105,ICMP,953,33.8,6.29,eMBB
192.168.158.40,192.0.2.56,TCP,1238,30.04,4.39,URLLC
192.168.74.219,192.0.2.16,UDP,526,16.2,2.55,URLLC
192.168.166.243,192.0.2.233,TCP,926,13.49,2.35,URLLC
192.168.251.117,192.0.2.183,TCP,1073,18.44,2.06,URLLC
192.168.154.206,192.0.2.16,TCP,656,102.75,4.49,mMTC
192.168.11.16,192.0.2.247,TCP,594,110.31,3.15,mMTC
192.168.206.65,192.0.2.162,ICMP,183,66.28,3.96,mMTC
192.168.135.27,192.0.2.90,ICMP,1166,12.16,4.29,URLLC
192.168.42.46,192.0.2.165,UDP,1261,49.06,6.63,eMBB
192.168.193.105,192.0.2.19,UDP,739,77.36,2.93,mMTC
192.168.103.84,192.0.2.115,TCP,1306,48.21,5.64,eMBB
192.168.255.207,192.0.2.237,UDP,697,135.74,7.18,mMTC
192.168.196.223,192.0.2.72,ICMP,385,100.42,4.63,mMTC
192.168.232.133,192.0.2.163,UDP,796,17.14,3.34,URLLC
192.168.238.217,192.0.2.11,UDP,1211,48.61,5.51,eMBB
192.168.47.197,192.0.2.41,TCP,919,59.9,1.78,eMBB
192.168.188.38,192.0.2.253,UDP,265,115.61,5.87,mMTC
192.168.37.28,192.0.2.68,UDP,606,14.88,2.17,URLLC
192.168.47.6,192.0.2.114,UDP,1257,63.48,5.7,eMBB
192.168.215.95,192.0.2.27,TCP,426,8.13,4.76,mMTC
192.168.232.28,192.0.2.188,TCP,506,126.8,3.5,mMTC
192.168.222.71,192.0.2.6,ICMP,155,123.71,5.91,mMTC
192.168.245.171,192.0.2.103,ICMP,1334,56.3,1.88,eMBB
192.168.20.221,192.0.2.204,TCP,1243,23.53,5.05,URLLC
192.168.222.194,192.0.2.246,UDP,983,17.41,2.72,URLLC
192.168.111.138,192.0.2.121,TCP,797,191.18,6.74,mMTC
192.168.141.236,192.0.2.226,ICMP,951,19.14,2.86,URLLC
192.168.193.227,192.0.2.114,TCP,1350,58.06,6.49,eMBB
192.168.4.207,192.0.2.14,TCP,978,41.89,3.56,eMBB
192.168.170.128,192.0.2.16,UDP,345,79.35,3.75,mMTC
192.168.47.208,192.0.2.233,ICMP,318,27.51,4.48,URLLC
192.168.185.11,192.0.2.244,ICMP,813,24.02,3.15,URLLC
192.168.161.165,192.0.2.156,TCP,1108,42.66,1.45,eMBB
192.168.68.186,192.0.2.10,UDP,1176,46.89,2.7,eMBB
192.168.11.124,192.0.2.82,ICMP,1113,66.03,5.1,eMBB
192.168.101.119,192.0.2.248,TCP,641,123.58,5.89,mMTC
192.168.40.251,192.0.2.142,ICMP,766,127.39,5.7,mMTC
192.168.155.44,192.0.2.90,UDP,674,18.25,2.77,URLLC
192.168.65.95,192.0.2.154,UDP,1306,50.7,4.19,eMBB
192.168.70.67,192.0.2.149,ICMP,1488,50.55,5.73,eMBB
192.168.194.63,192.0.2.51,ICMP,1175,39.85,4.73,eMBB
192.168.91.77,192.0.2.200,TCP,203,22.17,3.74,URLLC
192.168.90.18,192.0.2.224,ICMP,766,106.24,5.18,mMTC
192.168.57.245,192.0.2.40,UDP,1179,15.3,5.19,URLLC
192.168.80.233,192.0.2.129,UDP,601,172.91,4.53,mMTC
192.168.25.174,192.0.2.74,UDP,1355,48.43,4.83,eMBB
192.168.160.2,192.0.2.83,UDP,341,148.9,6.23,mMTC
192.168.187.118,192.0.2.56,UDP,404,19.47,2.31,URLLC
192.168.23.232,192.0.2.51,ICMP,1187,63.9,7.04,eMBB
192.168.217.34,192.0.2.207,ICMP,1157,65.57,7.54,eMBB
192.168.92.118,192.0.2.220,ICMP,1474,48.27,8.28,eMBB
192.168.27.203,192.0.2.3,ICMP,414,9.12,3.72,URLLC
192.168.82.106,192.0.2.220,UDP,986,64.86,3.71,eMBB
192.168.187.149,192.0.2.230,UDP,1169,54.81,6.55,eMBB
192.168.106.65,192.0.2.184,ICMP,1178,48.18,5.42,eMBB
192.168.120.248,192.0.2.10,ICMP,233,135.14,5.78,mMTC
192.168.219.215,192.0.2.49,ICMP,1171,58.26,5.79,eMBB
192.168.181.121,192.0.2.69,UDP,1294,54.07,4.3,eMBB
192.168.24.169,192.0.2.79,UDP,605,26.35,3.21,URLLC
192.168.163.91,192.0.2.142,ICMP,236,124.83,5.32,mMTC
192.168.89.120,192.0.2.9,ICMP,704,103.53,4.6,mMTC
192.168.8.122,192.0.2.22,UDP,550,81.15,3.65,mMTC
192.168.75.13,192.0.2.159,TCP,761,19.85,2.96,URLLC
192.168.132.156,192.0.2.23,ICMP,521,138.03,5.25,mMTC
192.168.205.26,192.0.2.137,ICMP,545,82.84,4.39,mMTC
192.168.209.87,192.0.2.95,TCP,1067,46.26,7.5,eMBB
192.168.72.26,192.0.2.89,TCP,616,77.94,6.85,mMTC
192.168.191.89,192.0.2.37,ICMP,982,22.27,4.13,URLLC
192.168.92.196,192.0.2.218,UDP,880,28.04,1.83,URLLC
192.168.10.251,192.0.2.9,ICMP,561,22.0,2.84,URLLC
192.168.35.42,192.0.2.203,TCP,834,10.33,4.06,URLLC
192.168.35.128,192.0.2.119,TCP,1491,37.64,8.49,eMBB
192.168.72.153,192.0.2.81,ICMP,144,76.44,2.48,mMTC
192.168.103.82,192.0.2.76,UDP,762,82.48,1.54,mMTC
192.168.106.189,192.0.2.8,UDP,789,111.5,6.89,mMTC
192.168.32.101,192.0.2.65,UDP,277,117.02,4.07,mMTC
192.168.198.10,192.0.2.158,ICMP,868,24.73,4.11,URLLC
192.168.243.77,192.0.2.242,ICMP,363,70.95,4.33,mMTC
192.168.14.107,192.0.2.167,ICMP,663,67.63,8.86,mMTC
192.168.214.207,192.0.2.146,TCP,1077,50.81,8.06,eMBB
192.168.94.207,192.0.2.59,ICMP,321,86.6,5.76,mMTC
192.168.109.93,192.0.2.177,UDP,737,17.56,3.43,URLLC
192.168.70.142,192.0.2.145,ICMP,728,100.41,5.57,mMTC
192.168.199.209,192.0.2.4,TCP,454,28.48,3.23,URLLC
192.168.177.218,192.0.2.189,ICMP,1115,22.95,3.0,URLLC
192.168.220.60,192.0.2.183,ICMP,1144,23.58,1.45,URLLC
192.168.47.131,192.0.2.252,TCP,418,100.87,6.9,mMTC
192.168.12.149,192.0.2.62,UDP,1058,12.63,2.21,URLLC
192.168.74.198,192.0.2.182,TCP,1474,28.74,9.59,eMBB
192.168.107.218,192.0.2.171,ICMP,1023,58.34,2.96,eMBB
192.168.176.93,192.0.2.21,TCP,873,25.38,3.05,URLLC
192.168.47.34,192.0.2.241,ICMP,480,144.62,3.39,mMTC
192.168.160.204,192.0.2.74,ICMP,1131,22.49,4.76,URLLC
192.168.32.229,192.0.2.121,TCP,1457,61.19,8.09,eMBB
192.168.114.62,192.0.2.54,ICMP,997,19.9,3.74,URLLC
192.168.5.99,192.0.2.157,ICMP,231,27.44,2.85,URLLC
192.168.66.161,192.0.2.21,ICMP,1310,44.21,5.95,eMBB
192.168.7.153,192.0.2.62,UDP,605,18.45,4.14,URLLC
192.168.204.247,192.0.2.205,ICMP,362,19.57,3.92,URLLC
192.168.238.237,192.0.2.208,ICMP,718,30.44,4.73,URLLC
192.168.251.177,192.0.2.219,ICMP,269,17.78,0.98,URLLC
192.168.75.160,192.0.2.204,ICMP,920,70.64,8.99,eMBB
192.168.12.57,192.0.2.87,UDP,507,10.19,3.81,URLLC
192.168.112.142,192.0.2.202,TCP,348,115.55,4.92,mMTC
192.168.237.13,192.0.2.198,UDP,1079,29.09,8.54,eMBB
192.168.125.201,192.0.2.105,UDP,526,62.23,6.36,mMTC
192.168.177.165,192.0.2.249,UDP,941,52.48,7.44,eMBB
192.168.169.88,192.0.2.235,ICMP,605,16.18,2.43,URLLC
192.168.87.100,192.0.2.146,ICMP,1310,25.21,2.87,URLLC
192.168.195.156,192.0.2.54,ICMP,571,21.4,0.98,URLLC
192.168.15.75,192.0.2.222,UDP,1324,53.87,6.08,eMBB
192.168.218.234,192.0.2.70,ICMP,1202,36.63,7.06,eMBB
192.168.238.185,192.0.2.217,ICMP,1035,42.45,4.27,eMBB
192.168.98.152,192.0.2.36,UDP,1401,52.29,6.75,eMBB
192.168.193.197,192.0.2.64,TCP,351,95.25,5.09,mMTC
192.168.164.149,192.0.2.119,ICMP,1246,50.5,7.77,eMBB
192.168.209.50,192.0.2.104,TCP,1205,31.66,6.71,eMBB
192.168.86.221,192.0.2.21,ICMP,1293,10.66,3.33,URLLC
192.168.174.221,192.0.2.190,ICMP,621,129.63,5.54,mMTC
192.168.194.222,192.0.2.244,TCP,487,110.35,1.47,mMTC
192.168.56.8,192.0.2.245,ICMP,927,20.39,2.21,URLLC
192.168.117.124,192.0.2.177,TCP,682,10.52,4.31,URLLC
192.168.210.55,192.0.2.187,ICMP,1357,45.51,5.8,eMBB
192.168.119.51,192.0.2.134,ICMP,965,39.83,9.57,eMBB
192.168.246.42,192.0.2.149,ICMP,448,21.42,2.78,URLLC
192.168.132.55,192.0.2.121,ICMP,1362,58.82,8.23,eMBB
192.168.41.36,192.0.2.44,TCP,777,19.66,2.15,URLLC
192.168.113.175,192.0.2.67,TCP,237,108.02,3.16,mMTC
192.168.148.46,192.0.2.182,ICMP,1160,33.05,2.98,eMBB
192.168.173.43,192.0.2.223,ICMP,429,86.07,4.83,mMTC
192.168.177.127,192.0.2.246,ICMP,625,1.94,4.06,mMTC
192.168.47.210,192.0.2.53,UDP,183,93.76,6.88,mMTC
192.168.125.10,192.0.2.139,UDP,513,19.67,3.05,URLLC
192.168.187.150,192.0.2.161,ICMP,644,21.69,3.64,URLLC
192.168.13.70,192.0.2.70,ICMP,845,21.45,3.98,URLLC
192.168.8.225,192.0.2.68,TCP,848,19.79,1.61,URLLC
192.168.107.246,192.0.2.67,UDP,1106,48.66,7.53,eMBB
192.168.50.222,192.0.2.167,UDP,167,118.08,4.06,mMTC
192.168.12.247,192.0.2.111,ICMP,355,130.59,4.94,mMTC
192.168.71.158,192.0.2.25,TCP,1145,50.67,2.68,eMBB
192.168.56.36,192.0.2.27,ICMP,1010,23.95,3.94,URLLC
192.168.229.144,192.0.2.34,ICMP,595,96.56,3.8,mMTC
192.168.19.102,192.0.2.198,UDP,1101,46.06,10.71,eMBB
192.168.139.16,192.0.2.226,TCP,952,19.19,2.34,URLLC
192.168.180.187,192.0.2.201,TCP,1245,48.14,4.71,eMBB
192.168.0.174,192.0.2.25,UDP,678,21.55,3.38,URLLC
192.168.218.75,192.0.2.166,ICMP,809,16.48,5.38,URLLC
192.168.169.139,192.0.2.65,UDP,922,48.58,6.08,eMBB
192.168.157.54,192.0.2.31,TCP,526,122.91,4.92,mMTC
192.168.106.36,192.0.2.247,TCP,1378,56.49,6.91,eMBB
192.168.244.108,192.0.2.53,ICMP,464,118.56,4.42,mMTC
192.168.155.143,192.0.2.203,ICMP,1342,22.34,5.08,URLLC
192.168.121.191,192.0.2.184,UDP,446,20.55,2.9,URLLC
192.168.247.95,192.0.2.108,TCP,264,115.44,3.76,mMTC
192.168.47.37,192.0.2.49,UDP,1434,48.6,3.0,eMBB
192.168.102.238,192.0.2.56,UDP,937,58.35,4.93,eMBB
192.168.240.82,192.0.2.183,UDP,966,39.67,5.26,eMBB
192.168.227.253,192.0.2.180,ICMP,680,143.91,4.43,mMTC
192.168.28.207,192.0.2.229,TCP,1237,34.27,2.66,URLLC
192.168.173.189,192.0.2.223,TCP,1124,52.58,6.15,eMBB
192.168.102.229,192.0.2.132,ICMP,504,21.96,3.02,URLLC
192.168.58.119,192.0.2.155,UDP,1365,47.89,7.15,eMBB
192.168.251.18,192.0.2.161,TCP,326,11.53,3.72,URLLC
192.168.248.53,192.0.2.230,ICMP,555,17.8,4.17,URLLC
192.168.162.176,192.0.2.174,UDP,403,110.04,6.77,mMTC
192.168.85.138,192.0.2.6,ICMP,781,112.06,7.89,mMTC
192.168.170.71,192.0.2.47,TCP,532,15.28,3.63,URLLC
192.168.27.167,192.0.2.160,ICMP,1315,44.44,5.58,eMBB
192.168.150.68,192.0.2.21,UDP,344,21.01,1.68,URLLC
192.168.131.113,192.0.2.206,UDP,338,102.64,3.02,mMTC
